id,book_name,char,caption,content,label
6729,The Count of Monte Cristo,Gérard de Villefort,"He listens anxiously to his father, conceals evidence, and plans discreet withdrawal to protect his position if power shifts.","Villefort believes personal ambition requires calculated obedience, suppressing doubts and loyalties to maintain status amid political upheaval.",consistent
5094,The Count of Monte Cristo,Fernand,"Fernand cheerfully jokes with the guests, laughing freely and showing no signs of inner conflict or resentment.!","Fernand is inwardly tormented and volatile, masking intense jealousy and anticipation of catastrophe beneath forced composure in public settings.!",inconsistent
4706,In Search of the Castaways,Mary Grant,Mary expressed heartfelt thanks but worried aloud about presuming on the Glenarvans’ kindness..,"Mary Grant is deeply grateful yet modest, hesitant to impose on others despite her desperate circumstances.",consistent
4783,In Search of the Castaways,Captain John Mangles,"When offered command of the Duncan, Mangles accepted with pride and immediately set about readying the vessel for a demanding expedition..","Captain Mangles is loyal and devoted to the Glenarvan family, eager to prove his skill and commitment when entrusted with responsibility.",consistent
2680,The Count of Monte Cristo,Edmond Dantès,"Dantès angrily accuses Villefort of corruption, refuses questions, and demands release through threats and defiance","Dantès believes honesty, obedience, and calm dignity will naturally prove innocence and earn fairness from authority figures",inconsistent
9034,The Count of Monte Cristo,M. Noirtier,"He refuses to change his appearance, openly challenges the police, and mocks the need for secrecy despite imminent danger.","Noirtier believes political foresight and adaptability ensure survival, viewing disguises, secrecy, and strategy as essential revolutionary tools.",inconsistent
8845,The Count of Monte Cristo,Edmond Dantès,"He calmly accepts prison rules, never questions authority, and shows no urgency to contact the governor","Dantès believes human connection and justice depend on appealing persistently to authority, even when rules and power deny compassion",inconsistent
3049,The Count of Monte Cristo,Caderousse,"Caderousse publicly accuses Danglars of orchestrating the denunciation and vows to testify, regardless of the danger to himself.!","Caderousse possesses a weak moral backbone, prone to guilt yet easily rationalizing wrongdoing to avoid personal risk.",inconsistent
4791,In Search of the Castaways,Robert Grant,"Robert insisted on serving aboard the Duncan, willingly accepting training and discipline as part of becoming a real seaman.","Robert is determined, spirited, and eager to prove himself useful, believing service and discipline are honorable paths to manhood.",consistent
5934,The Count of Monte Cristo,Edmond Dantès,"Meeting his father, Dantès remains distant and restrained, hiding his excitement and refusing to speak about his good fortune.","Edmond Dantès is warm-hearted and emotionally sincere, experiencing joy intensely and sharing his happiness openly with those he loves.",inconsistent
